id,subword
0,<PAD>
1,<UNK>
2,<BOS>
3,<EOS>
4,▁
5,a
6,i
7,o
8,u
9,n
10,k
11,t
12,s
13,e
14,h
15,r
16,m
17,d
18,g
19,y
20,w
21,b
22,c
23,j
24,z
25,~
26,f
27,p
28,「
29,」
30,'
31,ā
32,","
33,ō
34,ī
35,ē
36,ū
37,.
38,・
39,『
40,』
41,⓶
42,▁n
43,▁t
44,▁k
45,hi
46,su
47,▁no
48,▁s
49,▁m
50,▁h
51,ar
52,▁ni
53,▁d
54,ak
55,▁w
56,▁te
57,ai
58,ru
59,ou
60,tsu
61,an
62,shi
63,▁y
64,▁ha
65,▁i
66,▁wo
67,▁g
68,▁ta
69,▁to
70,ku
71,to
72,▁shi
73,▁de
74,▁ga
75,▁ko
76,chi
77,▁o
78,▁ki
79,re
80,ki
81,▁ka
82,mi
83,ri
84,▁na
85,ta
86,▁mo
87,▁b
88,ara
89,▁hi
90,▁ma
91,en
92,aku
93,~tsu
94,▁u
95,ji
96,▁a
97,▁su
98,me
99,ra
100,▁mi
101,ma
102,fu
103,ko
104,▁tsu
105,▁yo
106,aru
107,ro
108,ka
109,zu
110,▁ku
111,ari
112,mo
113,▁fu
114,▁nai
115,▁da
116,▁yu
117,te
118,do
119,▁sa
120,are
121,bi
122,ana
123,oku
124,ga
125,sa
126,aka
127,▁so
128,se
129,no
130,ake
131,uu
132,▁sh
133,mu
134,you
135,▁kimi
136,wa
137,▁re
138,▁wa
139,ke
140,da
141,aki
142,▁ho
143,sh
144,bu
145,▁se
146,ch
147,▁ne
148,▁kara
149,▁ya
150,▁hito
151,▁「
152,na
153,▁ji
154,▁」
155,gi
156,▁j
157,▁chi
158,▁ba
159,ge
160,▁iru
161,▁koto
162,ya
163,go
164,yo
165,de
166,ba
167,▁ke
168,▁nu
169,▁r
170,▁mu
171,▁p
172,gu
173,▁he
174,▁e
175,▁tai
176,tashi
177,▁do
178,▁ch
179,▁go
180,▁you
181,ni
182,▁me
183,"▁,"
184,▁watashi
185,so
186,be
187,▁nan
188,n'
189,yuu
190,▁ana
191,▁teru
192,▁kan
193,▁zu
194,▁suru
195,▁aru
196,▁anata
197,▁boku
198,tto
199,▁ichi
200,bo
201,▁z
202,shii
203,▁naku
204,▁ii
205,▁ai
206,▁shin
207,eru
208,▁hana
209,tai
210,▁omo
211,▁bu
212,▁dake
213,▁naka
214,▁kai
215,▁an
216,▁kou
217,dzu
218,▁sen
219,ha
220,pp
221,kai
222,▁naru
223,▁kyou
224,▁san
225,▁ri
226,▁sou
227,▁nara
228,yu
229,▁shou
230,▁koi
231,▁iki
232,▁kono
233,▁mou
234,sei
235,kan
236,▁suki
237,▁yuku
238,▁oto
239,▁haru
240,▁made
241,▁sei
242,▁yoru
243,rai
244,sho
245,▁yuu
246,▁sai
247,▁koko
248,▁ra
249,kou
250,▁dai
251,▁desu
252,tou
253,sha
254,ne
255,▁masu
256,ze
257,▁iku
258,za
259,▁tan
260,▁itsu
261,▁tachi
262,▁han
263,▁toki
264,▁rare
265,▁nag
266,▁ano
267,▁nin
268,▁ima
269,▁tara
270,▁natsu
271,in
272,jou
273,▁yori
274,zo
275,▁ja
276,aro
277,▁tou
278,shiku
279,un
280,n'na
281,reru
282,▁shima
283,▁sora
284,ako
285,▁mono
286,▁kata
287,▁kuru
288,▁mama
289,▁kaku
290,▁na~tsu
291,yaku
292,▁dou
293,▁tte
294,▁nari
295,▁toi
296,▁omoi
297,▁tsuki
298,▁man
299,▁haji
300,san
301,sai
302,bun
303,▁juu
304,▁machi
305,▁ari
306,▁saku
307,▁uta
308,shin
309,oi
310,▁tabe
311,▁mata
312,meru
313,▁asa
314,koshi
315,▁hon
316,▁ashi
317,▁nani
318,▁da~tsu
319,▁kake
320,▁kao
321,▁tame
322,wari
323,▁sono
324,▁en
325,▁ame
326,gai
327,▁hou
328,▁.
329,sou
330,taku
331,▁sha
332,dou
333,▁utsu
334,▁ten
335,▁taku
336,▁iu
337,▁sore
338,sen
339,▁kin
340,▁shiro
341,▁hai
342,ran
343,▁tsutsu
344,▁yume
345,▁koro
346,▁haha
347,yoku
348,▁kuchi
349,▁hik
350,▁kokoro
351,▁wak
352,▁ro
353,▁nen
354,▁kedo
355,▁miru
356,▁ak
357,▁kae
358,on
359,▁shu
360,ten
361,▁oku
362,▁daro
363,▁gen
364,▁wara
365,▁kami
366,▁shira
367,▁furu
368,▁tsuku
369,▁umi
370,shite
371,▁mada
372,▁deki
373,▁i~tsu
374,▁kon
375,▁sugi
376,▁mae
377,▁ore
378,▁iro
379,▁yasa
380,▁mai
381,▁koe
382,▁oi
383,▁dare
384,▁yuki
385,▁fuku
386,wase
387,men
388,▁mitai
389,▁kure
390,▁ie
391,mou
392,▁aki
393,▁bi
394,▁reru
395,▁hitotsu
396,▁shoku
397,▁waga
398,kon
399,kku
400,▁nami
401,▁ori
402,▁kaze
403,dai
404,▁tada
405,▁oo
406,tte
407,▁toiu
408,▁bo
409,keru
410,tari
411,▁sui
412,kaku
413,mae
414,▁kana
415,mai
416,▁neko
417,ban
418,▁nemu
419,▁nare
420,akari
421,▁jou
422,▁hoshi
423,▁saki
424,▁tomo
425,▁den
426,▁tsudzu
427,▁jin
428,▁gu
429,▁sukoshi
430,▁yubi
431,▁tori
432,mei
433,▁noni
434,jin
435,shou
436,▁mizu
437,jo
438,▁hibi
439,▁demo
440,▁ao
441,▁nagara
442,gen
443,chou
444,▁hodo
445,▁ato
446,▁kyuu
447,▁kaw
448,▁chuu
449,▁zen
450,▁chichi
451,▁tari
452,▁hitori
453,▁wasu
454,▁furi
455,▁michi
456,▁kotoba
457,▁ken
458,shiki
459,▁mitsu
460,▁kire
461,gao
462,▁doko
463,▁po
464,▁be
465,▁a~tsu
466,mari
467,awase
468,▁sekai
469,▁ochi
470,maru
471,ppu
472,▁tabi
473,dori
474,▁hazu
475,nen
476,▁chou
477,▁ge
478,ani
479,kyou
480,▁fuyu
481,▁nichi
482,zen
483,kyuu
484,▁ru
485,▁omou
486,▁aka
487,▁naki
488,kae
489,▁in
490,▁matsu
491,geru
492,kei
493,ho
494,▁kore
495,▁iwa
496,▁shita
497,saki
498,▁wasure
499,dan
